,ZCTA5_x,ZCTA5_y,visitor_flows_x,latitude,longitude,latitude_y,longitude_y
201,53521,53711,58,42.8428148,-89.41746409999999,43.01563729999999,-89.4318454
202,53521,53713,38,42.8428148,-89.41746409999999,43.0324123,-89.3843206
203,53521,53714,4,42.8428148,-89.41746409999999,43.099931,-89.3084607
204,53521,53715,18,42.8428148,-89.41746409999999,43.0592056,-89.4008958
205,53521,53716,13,42.8428148,-89.41746409999999,43.0709333,-89.32743909999999
206,53521,53717,7,42.8428148,-89.41746409999999,43.0718858,-89.5167298
207,53521,53718,7,42.8428148,-89.41746409999999,43.0850514,-89.25622390000001
208,53521,53719,42,42.8428148,-89.41746409999999,43.0282084,-89.5214505
209,53521,53726,1,42.8428148,-89.41746409999999,43.06903430000001,-89.4245627
210,53521,53792,0,42.8428148,-89.41746409999999,43.0772547,-89.430773
211,53521,53911,0,42.8428148,-89.41746409999999,43.3084717,-89.3795835
212,53521,53925,0,42.8428148,-89.41746409999999,43.3447367,-89.0370477
213,53523,53508,0,42.9956897,-88.99880979999999,42.8824665,-89.5686271
214,53523,53515,0,42.9956897,-88.99880979999999,43.1163045,-89.7567693
215,53523,53516,0,42.9956897,-88.99880979999999,42.8052388,-89.9066314
216,53523,53517,0,42.9956897,-88.99880979999999,43.029068,-89.8224054
217,53523,53521,2,42.9956897,-88.99880979999999,42.8428148,-89.41746409999999
218,53523,53523,67,42.9956897,-88.99880979999999,42.9956897,-88.99880979999999
219,53523,53527,45,42.9956897,-88.99880979999999,43.0748965,-89.18964299999999
220,53523,53528,0,42.9956897,-88.99880979999999,43.1160103,-89.64399240000002
221,53523,53529,0,42.9956897,-88.99880979999999,43.2414003,-89.5025641
222,53523,53531,106,42.9956897,-88.99880979999999,43.0743333,-89.1134166
223,53523,53532,5,42.9956897,-88.99880979999999,43.2306919,-89.3037147
224,53523,53534,3,42.9956897,-88.99880979999999,42.8405704,-89.0752499
225,53523,53544,0,42.9956897,-88.99880979999999,42.8735021,-89.9159785
226,53523,53555,0,42.9956897,-88.99880979999999,43.3093378,-89.5686271
227,53523,53558,10,42.9956897,-88.99880979999999,43.007604,-89.294221
228,53523,53559,17,42.9956897,-88.99880979999999,43.15161519999999,-89.0752499
229,53523,53560,0,42.9956897,-88.99880979999999,43.1939017,-89.7942892
230,53523,53562,6,42.9956897,-88.99880979999999,43.1156039,-89.5308903
231,53523,53571,0,42.9956897,-88.99880979999999,43.2709121,-89.3594449
232,53523,53572,0,42.9956897,-88.99880979999999,42.9608139,-89.7192132
233,53523,53574,0,42.9956897,-88.99880979999999,42.8047254,-89.64399240000002
234,53523,53575,4,42.9956897,-88.99880979999999,42.9205564,-89.3795835
235,53523,53583,0,42.9956897,-88.99880979999999,43.2327288,-89.8692203
236,53523,53589,21,42.9956897,-88.99880979999999,42.9196358,-89.2277026
237,53523,53590,44,42.9956897,-88.99880979999999,43.1912263,-89.18964299999999
238,53523,53593,7,42.9956897,-88.99880979999999,42.999243,-89.5686271
239,53523,53594,0,42.9956897,-88.99880979999999,43.1893806,-88.96053649999999
240,53523,53597,3,42.9956897,-88.99880979999999,43.192794,-89.4553088
241,53523,53598,0,42.9956897,-88.99880979999999,43.2066938,-89.336925
242,53523,53703,11,42.9956897,-88.99880979999999,43.0833196,-89.3724769
243,53523,53704,101,42.9956897,-88.99880979999999,43.1438143,-89.35114949999999
244,53523,53705,16,42.9956897,-88.99880979999999,43.0716332,-89.46003689999999
245,53523,53706,3,42.9956897,-88.99880979999999,43.1054334,-89.42692869999999
246,53523,53711,13,42.9956897,-88.99880979999999,43.01563729999999,-89.4318454
247,53523,53713,17,42.9956897,-88.99880979999999,43.0324123,-89.3843206
248,53523,53714,22,42.9956897,-88.99880979999999,43.099931,-89.3084607
249,53523,53715,17,42.9956897,-88.99880979999999,43.0592056,-89.4008958
250,53523,53716,27,42.9956897,-88.99880979999999,43.0709333,-89.32743909999999
251,53523,53717,5,42.9956897,-88.99880979999999,43.0718858,-89.5167298
252,53523,53718,41,42.9956897,-88.99880979999999,43.0850514,-89.25622390000001
253,53523,53719,18,42.9956897,-88.99880979999999,43.0282084,-89.5214505
254,53523,53726,0,42.9956897,-88.99880979999999,43.06903430000001,-89.4245627
255,53523,53792,0,42.9956897,-88.99880979999999,43.0772547,-89.430773
256,53523,53911,0,42.9956897,-88.99880979999999,43.3084717,-89.3795835
257,53523,53925,0,42.9956897,-88.99880979999999,43.3447367,-89.0370477
258,53527,53508,2,43.0748965,-89.18964299999999,42.8824665,-89.5686271
259,53527,53515,0,43.0748965,-89.18964299999999,43.1163045,-89.7567693
260,53527,53516,0,43.0748965,-89.18964299999999,42.8052388,-89.9066314
261,53527,53517,0,43.0748965,-89.18964299999999,43.029068,-89.8224054
262,53527,53521,4,43.0748965,-89.18964299999999,42.8428148,-89.41746409999999
263,53527,53523,12,43.0748965,-89.18964299999999,42.9956897,-88.99880979999999
264,53527,53527,847,43.0748965,-89.18964299999999,43.0748965,-89.18964299999999
265,53527,53528,8,43.0748965,-89.18964299999999,43.1160103,-89.64399240000002
266,53527,53529,1,43.0748965,-89.18964299999999,43.2414003,-89.5025641
267,53527,53531,21,43.0748965,-89.18964299999999,43.0743333,-89.1134166
268,53527,53532,39,43.0748965,-89.18964299999999,43.2306919,-89.3037147
269,53527,53534,1,43.0748965,-89.18964299999999,42.8405704,-89.0752499
270,53527,53544,0,43.0748965,-89.18964299999999,42.8735021,-89.9159785
271,53527,53555,0,43.0748965,-89.18964299999999,43.3093378,-89.5686271
272,53527,53558,93,43.0748965,-89.18964299999999,43.007604,-89.294221
273,53527,53559,6,43.0748965,-89.18964299999999,43.15161519999999,-89.0752499
274,53527,53560,1,43.0748965,-89.18964299999999,43.1939017,-89.7942892
275,53527,53562,79,43.0748965,-89.18964299999999,43.1156039,-89.5308903
276,53527,53571,0,43.0748965,-89.18964299999999,43.2709121,-89.3594449
277,53527,53572,0,43.0748965,-89.18964299999999,42.9608139,-89.7192132
278,53527,53574,0,43.0748965,-89.18964299999999,42.8047254,-89.64399240000002
279,53527,53575,40,43.0748965,-89.18964299999999,42.9205564,-89.3795835
280,53527,53583,0,43.0748965,-89.18964299999999,43.2327288,-89.8692203
281,53527,53589,126,43.0748965,-89.18964299999999,42.9196358,-89.2277026
282,53527,53590,512,43.0748965,-89.18964299999999,43.1912263,-89.18964299999999
283,53527,53593,74,43.0748965,-89.18964299999999,42.999243,-89.5686271
284,53527,53594,0,43.0748965,-89.18964299999999,43.1893806,-88.96053649999999
285,53527,53597,44,43.0748965,-89.18964299999999,43.192794,-89.4553088
286,53527,53598,2,43.0748965,-89.18964299999999,43.2066938,-89.336925
287,53527,53703,104,43.0748965,-89.18964299999999,43.0833196,-89.3724769
288,53527,53704,714,43.0748965,-89.18964299999999,43.1438143,-89.35114949999999
289,53527,53705,136,43.0748965,-89.18964299999999,43.0716332,-89.46003689999999
290,53527,53706,44,43.0748965,-89.18964299999999,43.1054334,-89.42692869999999
291,53527,53711,104,43.0748965,-89.18964299999999,43.01563729999999,-89.4318454
292,53527,53713,127,43.0748965,-89.18964299999999,43.0324123,-89.3843206
293,53527,53714,204,43.0748965,-89.18964299999999,43.099931,-89.3084607
294,53527,53715,82,43.0748965,-89.18964299999999,43.0592056,-89.4008958
295,53527,53716,468,43.0748965,-89.18964299999999,43.0709333,-89.32743909999999
296,53527,53717,19,43.0748965,-89.18964299999999,43.0718858,-89.5167298
